"lakename","year4","daynum","month","sampledate","depth","temperature_C","dissolvedOxygen","irradianceWater","irradianceDeck","tn_ug","tp_ug","nh34","no23","po4"
"Paul Lake",1991,140,5,1991-05-20,0,16.6,8.7,1600,1250,538,25,NA,NA,NA
"Peter Lake",1991,140,5,1991-05-20,0,16.6,9.1,1800,1450,352,11,NA,NA,NA
"Paul Lake",1991,147,5,1991-05-27,0,19.4,7.4,510,445,483,8,18.981,10.299,8
"Peter Lake",1991,148,5,1991-05-28,0,20.6,8,1350,1100,342,23,18.096,6.276,NA
"Paul Lake",1991,154,6,1991-06-03,0,22.4,6.6,1200,1000,512,17,20.736,5.934,4
"Peter Lake",1991,155,6,1991-06-04,0,21.2,7.5,1250,1100,573,5,21.533,3.818,4
"Paul Lake",1991,161,6,1991-06-10,0,22.6,6.4,180,155,421,11,20.303,11.381,6
"Peter Lake",1991,162,6,1991-06-11,0,22.4,7.5,850,850,296,9,14.579,6.827,4
"Paul Lake",1991,168,6,1991-06-17,0,22.8,6.6,1300,1150,474,8,6.441,2.375,5
"Peter Lake",1991,169,6,1991-06-18,0,23.3,7.4,920,880,321,8,5.749,2.429,4
"Paul Lake",1991,175,6,1991-06-24,0,21.1,7.4,1550,1250,400,9,19.559,1.55,4
"Peter Lake",1991,176,6,1991-06-25,0,21.9,7.9,1175,1050,292,4,5.817,1.51,4
"Paul Lake",1991,182,7,1991-07-01,0,21.4,6.4,115,115,506,9,21.958,11.954,7
"Peter Lake",1991,183,7,1991-07-02,0,21.3,7.6,720,550,346,10,12.448,2.742,7
"Paul Lake",1991,189,7,1991-07-08,0,22.4,6.4,850,740,341,11,18.406,5.232,3
"Peter Lake",1991,190,7,1991-07-09,0,22.6,7.4,520,450,266,5,9.495,8.907,12
"Paul Lake",1991,196,7,1991-07-15,0,23.1,6.2,1350,1150,436,9,21.606,3.5,3
"Peter Lake",1991,197,7,1991-07-16,0,23.7,6.7,1270,910,490,9,24.334,5.071,4
"Paul Lake",1991,203,7,1991-07-22,0,25.5,5.9,155,140,431,6,20.225,3.863,0
"Peter Lake",1991,204,7,1991-07-23,0,24.6,6.5,1390,1180,364,7,17.35,3.003,1
"Paul Lake",1991,210,7,1991-07-29,0,19.6,6.5,240,225,442,9,8.904,2.993,1
"Peter Lake",1991,211,7,1991-07-30,0,20.2,7.3,1375,1175,368,22,NA,NA,NA
"Paul Lake",1991,217,8,1991-08-05,0,20,6.9,1400,1100,380,11,8.653,1.32,8
"Peter Lake",1991,218,8,1991-08-06,0,20.9,6.9,432,480,288,10,4.556,0.463,2
"Paul Lake",1991,224,8,1991-08-12,0,22,6.7,1125,810,383,7,16.211,0.314,0
"Peter Lake",1991,225,8,1991-08-13,0,22.6,7.2,800,790,317,12,8.638,0.579,1
"Paul Lake",1991,231,8,1991-08-19,0,21.1,6.6,1020,920,415,8,11.667,1.685,5
"Peter Lake",1991,232,8,1991-08-20,0,21.6,7.1,1025,770,280,12,9.608,1.294,5
"Paul Lake",1991,238,8,1991-08-26,0,21.8,6.8,740,700,345,8,NA,NA,NA
"Peter Lake",1991,239,8,1991-08-27,0,22.5,7.1,760,600,275,11,NA,NA,NA
"Paul Lake",1991,245,9,1991-09-02,0,20.3,6.8,490,420,477,7,NA,NA,NA
"Peter Lake",1991,246,9,1991-09-03,0,21.2,7,320,305,345,6,NA,NA,NA
"Peter Lake",1992,141,5,1992-05-20,0,17.1,8.7,1250,1050,347.15,12.32,NA,NA,NA
"Peter Lake",1992,148,5,1992-05-27,0,15.5,9,1100,880,272,5.65,15.02,0.08,11
"Peter Lake",1992,155,6,1992-06-03,0,20.1,9.3,1200,960,644.28,14.98,NA,NA,NA
"Peter Lake",1992,162,6,1992-06-10,0,20,9.1,1125,930,258.24,8.3,8.16,1.36,4
